file_name,question
images/0.png,what is the net worth?
images/1.png,what is the net worth?
images/2.png,what is the gross worth?
images/3.png,what is the gross worth?
images/4.png,what is the vat due?
images/5.png,what is the vat due?
images/6.png,what is the vat due?
images/7.png,what is the net worth?
images/8.png,what is the gross worth?
images/9.png,what is the vat due?
images/10.png,what is the gross worth?
images/11.png,what is the net worth?
images/12.png,what is the vat due?
images/13.png,what is the vat due?
images/14.png,what is the net worth?
images/15.png,what is the gross worth?
images/16.png,what is the gross worth?
images/17.png,what is the net worth?
images/18.png,what is the vat due?
images/19.png,what is the vat due?
images/20.png,what is the gross worth?
images/21.png,what is the gross worth?
images/22.png,what is the vat due?
images/23.png,what is the vat due?
images/24.png,what is the net worth?
images/25.png,what is the net worth?
images/26.png,what is the net worth?
images/27.png,what is the gross worth?
images/28.png,what is the vat due?
images/29.png,what is the net worth?
images/30.png,what is the vat due?
images/31.png,what is the net worth?
images/32.png,what is the vat due?
images/33.png,what is the net worth?
images/34.png,what is the gross worth?
images/35.png,what is the gross worth?
images/36.png,what is the gross worth?
images/37.png,what is the vat due?
images/38.png,what is the vat due?
images/39.png,what is the net worth?
images/40.png,what is the vat due?
images/41.png,what is the gross worth?
images/42.png,what is the vat due?
images/43.png,what is the gross worth?
images/44.png,what is the vat due?
images/45.png,what is the net worth?
images/46.png,what is the net worth?
images/47.png,what is the net worth?
images/48.png,what is the net worth?
images/49.png,what is the net worth?
images/50.png,what is the net worth?
images/51.png,what is the vat due?
images/52.png,what is the net worth?
images/53.png,what is the vat due?
images/54.png,what is the vat due?
images/55.png,what is the net worth?
images/56.png,what is the gross worth?
images/57.png,what is the net worth?
images/58.png,what is the net worth?
images/59.png,what is the net worth?
images/60.png,what is the vat due?
images/61.png,what is the net worth?
images/62.png,what is the gross worth?
images/63.png,what is the net worth?
images/64.png,what is the gross worth?
images/65.png,what is the gross worth?
images/66.png,what is the gross worth?
images/67.png,what is the gross worth?
images/68.png,what is the net worth?
images/69.png,what is the gross worth?
images/70.png,what is the net worth?
images/71.png,what is the vat due?
images/72.png,what is the vat due?
images/73.png,what is the net worth?
images/74.png,what is the vat due?
images/75.png,what is the gross worth?
images/76.png,what is the gross worth?
images/77.png,what is the net worth?
images/78.png,what is the net worth?
images/79.png,what is the gross worth?
images/80.png,what is the net worth?
images/81.png,what is the net worth?
images/82.png,what is the vat due?
images/83.png,what is the gross worth?
images/84.png,what is the vat due?
images/85.png,what is the net worth?
images/86.png,what is the vat due?
images/87.png,what is the net worth?
images/88.png,what is the gross worth?
images/89.png,what is the gross worth?
images/90.png,what is the vat due?
